6m,asc,The entertainer (Scott Joplin),https://www.youtube.com/watch?v=fPmruHc4S9Q,NO
6m,asc,Black Orpheus (Jazz Standard),https://www.youtube.com/watch?v=R4aJWz0ysDk,NO
6m,asc,Without me (Eminem) (Chorus riff),https://www.youtube.com/watch?v=YVkUvmDQ3HY,NO
6m,des,Love story (Movie Theme),https://www.youtube.com/watch?v=53Nh3XxBiWg,NO
6m,des,Hey Joe (Jimi Hendrix) (bass riff at the end),https://www.youtube.com/watch?v=6aTm42gDemI,NO
6M,asc,Two of us (The Beatles),https://www.youtube.com/watch?v=cLQox8e9688,NO
6M,asc,My way (Frank Sinatra) (And now ... the end is near),https://www.youtube.com/watch?v=qQzdAsjWGPg,NO
6M,asc,Summertime (Standard) (Hush little baby),https://www.youtube.com/watch?v=L5xafQXg1yI,NO
6M,asc,My Bonnie lies over the ocean (Traditional),https://www.youtube.com/watch?v=Idc4P5nTNeo,NO
6M,asc,Take the A-Train (Duke Ellington),https://www.youtube.com/watch?v=cb2w2m1JmCY,NO
6M,asc,For he's a jolly godd fellow,https://www.youtube.com/watch?v=n8n-PDVYgu4,NO
6M,des,Man in the mirror (Michael Jackson) (Estribillo),https://www.youtube.com/watch?v=Zqe5NP86OCc,NO
6M,des,Crazy (Country standard),https://www.youtube.com/watch?v=MbnrdCS57d0,NO
6M,des,Body and Soul (Jazz Standard),https://www.youtube.com/watch?v=I4CI3Slriqk,NO
6M,des,Weawer of dreams (Jazz Standard),https://www.youtube.com/watch?v=uT7O4LJ8l38,NO
7m,asc,The winner takes it all (ABBA),https://www.youtube.com/watch?v=iyIOl-s7JTU,NO
7m,asc,Star Trek Theme,https://www.youtube.com/watch?v=EO1FZEUbZJE,NO
7m,asc,Somewhere (West Side Story),https://www.youtube.com/watch?v=_SQ4ogstDVE,NO
7m,asc,Don't know why (Nora Jones),https://www.youtube.com/watch?v=tO4dxvguQDk,NO
7m,des,Un americano en Paris (Gershwin),https://www.youtube.com/watch?v=o7AGoPObYYU,NO
7m,des,Watermelon man (Jazz Standard),https://www.youtube.com/watch?v=oP-vD4ScAGA,NO
7M,asc,Take on me (A-Ha) (Estribillo),https://www.youtube.com/watch?v=djV11Xbc914,NO
7M,des,I love you (Cole Porter),https://www.youtube.com/watch?v=qnHr6ssXgZM,NO
8a,asc,Somewhere over the rainbow,https://www.youtube.com/watch?v=V1bFr2SWP1I,NO
8a,asc,Bule Bossa (Jazz Standard),https://www.youtube.com/watch?v=6sr7BXinJMw,NO
8a,asc,Singing in the rain (Musical),https://www.youtube.com/watch?v=-f-CqwYsyQc,NO
8a,asc,My Sharona (The Knack) (Main riff),https://www.youtube.com/watch?v=s6oNm93-PIY,NO
8a,des,Willow weep for me (Jazz Standard),https://www.youtube.com/watch?v=5_O1KJALZzA,NO
